Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-eqdz,checkpoint-cuki,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,checkpoint-353x,checkpoint-cbnt,branch-pusb,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,picture,opt1,opt2,opt3,opt4,aud1,aud2,aud3,aud4
1,1.54394E+12,04/12/2018 15:12,1.54394E+12,0,04/12/2018 15:12,4424,9,task-z5kw,,1931639,,508749,,complete,,,computer,Desktop or Laptop,Windows 10,IE 11.0,1920x1080,1920x962,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1.54394E+12,04/12/2018 15:12,1.54394E+12,0,04/12/2018 15:12,4424,9,task-z5kw,,1931639,,508749,,complete,,,computer,Desktop or Laptop,Windows 10,IE 11.0,1920x1080,1920x962,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,advancementZone,continue_button,1484.499805,,,0,1,0,,,,recognition_A,,,recog-Instructions,,,,,,,,,,
3,1.54394E+12,04/12/2018 15:12,1.54394E+12,0,04/12/2018 15:12,4424,9,task-z5kw,,1931639,,508749,,complete,,,computer,Desktop or Laptop,Windows 10,IE 11.0,1920x1080,1920x962,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,Zone3,content_audio,5943.600161,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,wabon,backpack.PNG,tabric,wabon,wabin,tabroc,tabric.mp3,wabon.mp3,wabin.mp3,tabroc.mp3
4,1.54394E+12,04/12/2018 15:12,1.54394E+12,0,04/12/2018 15:12,4424,9,task-z5kw,,1931639,,508749,,complete,,,computer,Desktop or Laptop,Windows 10,IE 11.0,1920x1080,1920x962,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,Zone2,content_audio,7214.000006,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,wabon,backpack.PNG,tabric,wabon,wabin,tabroc,tabric.mp3,wabon.mp3,wabin.mp3,tabroc.mp3
5,1.54394E+12,04/12/2018 15:12,1.54394E+12,0,04/12/2018 15:12,4424,9,task-z5kw,,1931639,,508749,,complete,,,computer,Desktop or Laptop,Windows 10,IE 11.0,1920x1080,1920x962,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,buttonB,response_button_text,9028.600029,wabon,1,1,0,0,,,,recognition_A,,1,recog-trial,wabon,backpack.PNG,tabric,wabon,wabin,tabroc,tabric.mp3,wabon.mp3,wabin.mp3,tabroc.mp3
6,1.54394E+12,04/12/2018 15:12,1.54394E+12,0,04/12/2018 15:12,4424,9,task-z5kw,,1931639,,508749,,complete,,,computer,Desktop or Laptop,Windows 10,IE 11.0,1920x1080,1920x962,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,2,1,Screen 1,Zone2,content_audio,2561.299929,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,regby,car.PNG,regby,tesdar,tesdor,regbo,regby.mp3,tesdar.mp3,tesdor.mp3,regbo.mp3
7,1.54394E+12,04/12/2018 15:12,1.54394E+12,0,04/12/2018 15:12,4424,9,task-z5kw,,1931639,,508749,,complete,,,computer,Desktop or Laptop,Windows 10,IE 11.0,1920x1080,1920x962,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,2,1,Screen 1,buttonA,response_button_text,4903.299947,regby,1,1,0,0,,,,recognition_A,,1,recog-trial,regby,car.PNG,regby,tesdar,tesdor,regbo,regby.mp3,tesdar.mp3,tesdor.mp3,regbo.mp3
8,1.54394E+12,04/12/2018 15:12,1.54394E+12,0,04/12/2018 15:12,4424,9,task-z5kw,,1931639,,508749,,complete,,,computer,Desktop or Laptop,Windows 10,IE 11.0,1920x1080,1920x962,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,3,1,Screen 1,Zone3,content_audio,3110.800013,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,vorgal,flower.PNG,vorgil,femad,vorgal,femod,vorgil.mp3,femad.mp3,vorgal.mp3,femod.mp3
9,1.54394E+12,04/12/2018 15:12,1.54394E+12,0,04/12/2018 15:12,4424,9,task-z5kw,,1931639,,508749,,complete,,,computer,Desktop or Laptop,Windows 10,IE 11.0,1920x1080,1920x962,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,3,1,Screen 1,Zone4,content_audio,4646.099889,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,vorgal,flower.PNG,vorgil,femad,vorgal,femod,vorgil.mp3,femad.mp3,vorgal.mp3,femod.mp3
10,1.54394E+12,04/12/2018 15:12,1.54394E+12,0,04/12/2018 15:12,4424,9,task-z5kw,,1931639,,508749,,complete,,,computer,Desktop or Laptop,Windows 10,IE 11.0,1920x1080,1920x962,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,3,1,Screen 1,buttonD,response_button_text,6660.900113,femod,1,0,1,0,,,,recognition_A,,1,recog-trial,vorgal,flower.PNG,vorgil,femad,vorgal,femod,vorgil.mp3,femad.mp3,vorgal.mp3,femod.mp3
