Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-eqdz,checkpoint-cuki,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,checkpoint-353x,checkpoint-cbnt,branch-pusb,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,picture,opt1,opt2,opt3,opt4,aud1,aud2,aud3,aud4
1,1.54385E+12,03/12/2018 16:31,1.54385E+12,0,03/12/2018 16:31,4424,9,task-lwe7,,1926406,,508753,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 63.0,1680x1050,1680x905,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1.54385E+12,03/12/2018 16:32,1.54385E+12,0,03/12/2018 16:32,4424,9,task-lwe7,,1926406,,508753,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 63.0,1680x1050,1680x905,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,1,1,Screen 1,advancementZone,continue_button,9481,,,0,1,0,,,,recognition_B,,,recog-Instructions,,,,,,,,,,
3,1.54385E+12,03/12/2018 16:32,1.54385E+12,0,03/12/2018 16:32,4424,9,task-lwe7,,1926406,,508753,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 63.0,1680x1050,1680x905,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,1,1,Screen 1,Zone1,content_audio,3001,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,wabon,food.PNG,wabin,pungus,wabon,pungos,wabin.mp3,pungus.mp3,wabon.mp3,pungos.mp3
4,1.54385E+12,03/12/2018 16:32,1.54385E+12,0,03/12/2018 16:32,4424,9,task-lwe7,,1926406,,508753,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 63.0,1680x1050,1680x905,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,1,1,Screen 1,Zone3,content_audio,4703,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,wabon,food.PNG,wabin,pungus,wabon,pungos,wabin.mp3,pungus.mp3,wabon.mp3,pungos.mp3
5,1.54385E+12,03/12/2018 16:32,1.54385E+12,0,03/12/2018 16:32,4424,9,task-lwe7,,1926406,,508753,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 63.0,1680x1050,1680x905,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,1,1,Screen 1,Zone2,content_audio,8294,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,wabon,food.PNG,wabin,pungus,wabon,pungos,wabin.mp3,pungus.mp3,wabon.mp3,pungos.mp3
6,1.54385E+12,03/12/2018 16:32,1.54385E+12,0,03/12/2018 16:32,4424,9,task-lwe7,,1926406,,508753,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 63.0,1680x1050,1680x905,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,1,1,Screen 1,buttonC,response_button_text,14416,wabon,1,1,0,0,,,,recognition_B,,1,recog-trial,wabon,food.PNG,wabin,pungus,wabon,pungos,wabin.mp3,pungus.mp3,wabon.mp3,pungos.mp3
7,1.54385E+12,03/12/2018 16:32,1.54385E+12,0,03/12/2018 16:32,4424,9,task-lwe7,,1926406,,508753,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 63.0,1680x1050,1680x905,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,2,1,Screen 1,Zone3,content_audio,2212,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,tabric,tree.PNG,femad,femod,tabroc,tabric,femad.mp3,femod.mp3,tabroc.mp3,tabric.mp3
8,1.54385E+12,03/12/2018 16:32,1.54385E+12,0,03/12/2018 16:32,4424,9,task-lwe7,,1926406,,508753,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 63.0,1680x1050,1680x905,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,2,1,Screen 1,Zone4,content_audio,3619,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,tabric,tree.PNG,femad,femod,tabroc,tabric,femad.mp3,femod.mp3,tabroc.mp3,tabric.mp3
9,1.54385E+12,03/12/2018 16:32,1.54385E+12,0,03/12/2018 16:32,4424,9,task-lwe7,,1926406,,508753,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 63.0,1680x1050,1680x905,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,2,1,Screen 1,buttonC,response_button_text,5267,tabroc,1,0,1,0,,,,recognition_B,,1,recog-trial,tabric,tree.PNG,femad,femod,tabroc,tabric,femad.mp3,femod.mp3,tabroc.mp3,tabric.mp3
10,1.54385E+12,03/12/2018 16:32,1.54385E+12,0,03/12/2018 16:32,4424,9,task-lwe7,,1926406,,508753,,complete,,,computer,Desktop or Laptop,Windows 7,Firefox 63.0,1680x1050,1680x905,day2done,Recognition,4,,,,audio-Success,,,B,attention_pass,,day1done,,day2done,,eligible,3,1,Screen 1,Zone2,content_audio,3250,AUDIO STARTED,1,0,1,0,,,,recognition_B,,1,recog-trial,mowel,ride.PNG,ballew,mowel,mowil,ballow,ballew.mp3,mowel.mp3,mowil.mp3,ballow.mp3
