Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-eqdz,checkpoint-cuki,branch-m64g,branch-jfu9,branch-n4qm,branch-vz7v,randomiser-q5z8,branch-gyqg,branch-lrfh,checkpoint-pq3t,checkpoint-p1b9,checkpoint-353x,checkpoint-cbnt,branch-pusb,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,picture,opt1,opt2,opt3,opt4,aud1,aud2,aud3,aud4
1,1.54385E+12,03/12/2018 16:28,1.54385E+12,0,03/12/2018 16:28,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,
2,1.54385E+12,03/12/2018 16:28,1.54385E+12,0,03/12/2018 16:28,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,advancementZone,continue_button,7412.7,,,0,1,0,,,,recognition_A,,,recog-Instructions,,,,,,,,,,
3,1.54385E+12,03/12/2018 16:28,1.54385E+12,0,03/12/2018 16:28,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,Zone1,content_audio,5725.8,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,vorgal,flower.PNG,vorgil,femad,vorgal,femod,vorgil.mp3,femad.mp3,vorgal.mp3,femod.mp3
4,1.54385E+12,03/12/2018 16:28,1.54385E+12,0,03/12/2018 16:28,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,Zone2,content_audio,8271.2,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,vorgal,flower.PNG,vorgil,femad,vorgal,femod,vorgil.mp3,femad.mp3,vorgal.mp3,femod.mp3
5,1.54385E+12,03/12/2018 16:28,1.54385E+12,0,03/12/2018 16:28,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,Zone3,content_audio,10275.3,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,vorgal,flower.PNG,vorgil,femad,vorgal,femod,vorgil.mp3,femad.mp3,vorgal.mp3,femod.mp3
6,1.54385E+12,03/12/2018 16:28,1.54385E+12,0,03/12/2018 16:28,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,Zone4,content_audio,12025.2,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,vorgal,flower.PNG,vorgil,femad,vorgal,femod,vorgil.mp3,femad.mp3,vorgal.mp3,femod.mp3
7,1.54385E+12,03/12/2018 16:28,1.54385E+12,0,03/12/2018 16:28,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,1,1,Screen 1,buttonD,response_button_text,14449.2,femod,1,0,1,0,,,,recognition_A,,1,recog-trial,vorgal,flower.PNG,vorgil,femad,vorgal,femod,vorgil.mp3,femad.mp3,vorgal.mp3,femod.mp3
8,1.54385E+12,03/12/2018 16:28,1.54385E+12,0,03/12/2018 16:29,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,2,1,Screen 1,Zone2,content_audio,4660.1,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,mowel,coat.PNG,destor,mowel,dester,mowil,destor.mp3,mowel.mp3,dester.mp3,mowil.mp3
9,1.54385E+12,03/12/2018 16:28,1.54385E+12,0,03/12/2018 16:29,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,2,1,Screen 1,Zone4,content_audio,6799.7,AUDIO STARTED,1,0,1,0,,,,recognition_A,,1,recog-trial,mowel,coat.PNG,destor,mowel,dester,mowil,destor.mp3,mowel.mp3,dester.mp3,mowil.mp3
10,1.54385E+12,03/12/2018 16:28,1.54385E+12,0,03/12/2018 16:29,4424,9,task-y5i7,,1926360,,508739,,complete,,,computer,Desktop or Laptop,Windows 7,Chrome 70.0.3538.110,1366x768,1366x657,day2done,Recognition,4,day1done,day2done,attention_pass,audio-Success,,,A,,,,,,,eligible,2,1,Screen 1,buttonB,response_button_text,8980.6,mowel,1,1,0,0,,,,recognition_A,,1,recog-trial,mowel,coat.PNG,destor,mowel,dester,mowil,destor.mp3,mowel.mp3,dester.mp3,mowil.mp3
